concrete-rough,0.02,0.03,0.03,0.03,0.04,0.07,0.08
concrete-smooth,0.01,0.01,0.02,0.02,0.02,0.05,0.07
concrete-porous,0.05,0.05,0.05,0.08,0.14,0.2,0.26
concrete-clinker,0.10,0.20,0.40,0.60,0.50,0.60,0.60
brickwork-smooth-pointing,0.02,0.03,0.03,0.04,0.05,0.07,0.09
brickwork-smooth-pointing-painted,0.01,0.01,0.02,0.02,0.02,0.02,0.02
brickwork-standard,0.05,0.04,0.02,0.04,0.05,0.05,0.05
brickwork-pointing,0.08,0.09,0.12,0.16,0.22,0.24,0.28
ceramic-tiles,0.01,0.01,0.01,0.02,0.02,0.02,0.02
breeze,0.20,0.45,0.60,0.40,0.45,0.40,0.40
plaster,0.04,0.05,0.06,0.08,0.04,0.06,0.07
plasterboard-100,0.30,0.12,0.08,0.06,0.06,0.05,0.04
plasterboard-50,0.29,0.10,0.05,0.04,0.07,0.09,0.1
plasterboard-25,0.31,0.33,0.14,0.10,0.10,0.12,0.13 
plywood-3-75,0.5,0.3,0.1,0.05,0.05,0.05,0.05
plywood-5-50,0.40,0.35,0.20,0.15,0.05,0.05,0.04
plywood-12-25,0.31,0.33,0.14,0.1,0.1,0.12,0.12
plywood-12-30,0.35,0.20,0.15,0.10,0.05,0.05,0.04
plywood-12-50,0.25,0.05,0.04,0.03,0.03,0.02,0.01
plywood-12-150,0.28,0.08,0.07,0.07,0.09,0.09,0.1
plywood-12-200,0.14,0.10,0.10,0.08,0.10,0.08,0.08
plywood-solid,0.05,0.05,0.05,0.05,0.05,0.05,0.05
timber-22-500,0.05,0.25,0.6,0.15,0.05,0.1,0.1
timber-acoustic,0.18,0.32,0.42,0.59,0.83,0.68,0.7
cedar,0.2,0.62,0.98,0.62,0.21,0.15,0.1
mahogany,0.19,0.23,0.25,0.3,0.37,0.42,0.47
marble,0.01,0.01,0.01,0.01,0.02,0.02,0.02
wooden-floor,0.15,0.11,0.10,0.07,0.06,0.07,0.07
linoleum-concrete,0.02,0.02,0.03,0.04,0.04,0.05,0.06
parquet-concrete,0.04,0.04,0.07,0.06,0.06,0.07,0.07
carpet-5-concrete,0.01,0.02,0.05,0.15,0.3,0.4,0.45
carpet-6-closed-cell,0.03,0.09,0.25,0.31,0.33,0.44,0.5
carpet-6-open-cell,0.03,0.09,0.2,0.54,0.7,0.72,0.8
carpet-9-felt,0.08,0.08,0.3,0.6,0.75,0.80,0.85
carpet-10-rubber,0.5,0.1,0.3,0.5,0.65,0.7,0.75
carpet-15-rubbet,0.15,0.25,0.5,0.6,0.7,0.7,0.7
composite,0.05,0.05,0.05,0.05,0.05,0.05,0.05
rubber,0.05,0.05,0.1,0.1,0.05,0.05,0.05
cork,0.00001,0.05,0.15,0.25,0.25,0.00001,0.00001
mineral-wool,0.42,0.72,0.83,0.88,0.89,0.8,0.8
woodwool-100-25,0.5,0.75,0.85,0.65,0.7,0.7,0.7
woodwool-100-0,0.25,0.8,0.85,0.65,0.7,0.75,0.75
woodwool-75-0,0.15,0.4,0.95,0.6,0.7,0.6,0.6
woodwool-50-25,0.3,0.4,0.5,0.85,0.5,0.65,0.7
metal-perforated,0.12,0.45,0.87,0.98,0.99999,0.99999,0.99999
